active_employee,active_self_employed,active_unemployed,Inactive
0.117479,0.07313,0.056131,0.284861
0.089952,0.131293,0.045681,0.238607
0.095616,0.108709,0.050571,0.284565
0.088292,0.132438,0.045489,0.195393
0.093429,0.096352,0.053215,0.286132
0.092361,0.102318,0.041685,0.230866
0.0957,0.091863,0.046496,0.251552
0.094714,0.078594,0.050661,0.339608
0.119972,0.067377,0.053305,0.305188
0.087793,0.097917,0.047729,0.283049
0.093641,0.111007,0.048758,0.268768
0.08745,0.099985,0.049246,0.239516
0.095409,0.115414,0.049628,0.259938
0.078956,0.112061,0.050668,0.236867
0.079859,0.115051,0.036952,0.261234
0.071714,0.125817,0.036674,0.242919
0.070792,0.119428,0.0371,0.249213
0.077905,0.119444,0.038629,0.273962
0.091866,0.096122,0.045992,0.306219
0.098694,0.08285,0.04463,0.295235
0.074991,0.10456,0.039188,0.231386
0.098787,0.087708,0.054339,0.290425
0.093112,0.082158,0.044647,0.287635
0.071726,0.099792,0.037653,0.258605
0.066528,0.114544,0.031702,0.271086
0.079929,0.104473,0.037623,0.246407
0.062187,0.121344,0.032938,0.255995
0.068782,0.106477,0.03867,0.236135
0.058252,0.112822,0.028122,0.218949
0.073906,0.10892,0.045464,0.241004
0.061972,0.123592,0.023944,0.274648
0.072775,0.111482,0.034358,0.251957
0.122266,0.140473,0.047288,0.25098
0.123288,0.094959,0.062907,0.327836
0.104044,0.126455,0.043821,0.263929
0.120775,0.09222,0.053759,0.337413
0.130354,0.088449,0.053348,0.323179
0.110327,0.144663,0.045515,0.252196
0.118482,0.124104,0.04877,0.308363
0.081094,0.146277,0.025795,0.235403
0.121104,0.133274,0.060552,0.283467
0.132921,0.115961,0.051801,0.279648
0.120819,0.108943,0.045322,0.299443
0.121352,0.102061,0.050124,0.313273
0.085292,0.157977,0.038444,0.238599
0.120417,0.113416,0.05417,0.277063
0.132114,0.114235,0.049406,0.295755
0.080768,0.133582,0.02937,0.255056
0.116351,0.145863,0.045609,0.252189
0.125397,0.123602,0.047507,0.268333
0.09851,0.116722,0.039144,0.244442
0.08346,0.151968,0.034025,0.257247
0.069969,0.152274,0.027435,0.269195
0.10774,0.123769,0.050607,0.224639
0.126329,0.134334,0.053408,0.258161
0.137501,0.105888,0.060054,0.292514
0.117592,0.120542,0.047868,0.281979
0.11769,0.122901,0.047047,0.245947
0.086899,0.13738,0.042783,0.224574
0.185045,0.068902,0.028638,0.21613
0.073783,0.135243,0.031885,0.280345
0.107957,0.144043,0.046807,0.219236
0.142637,0.115722,0.05632,0.249348
0.068767,0.144161,0.029156,0.236637
0.080324,0.151835,0.030627,0.192574
0.076265,0.166724,0.033003,0.211696
0.093868,0.129845,0.041047,0.21897
0.086289,0.130597,0.025352,0.357135
0.097004,0.136821,0.030066,0.295074
0.090077,0.123398,0.034786,0.33016
0.091367,0.13514,0.023276,0.33038
0.098174,0.116438,0.028881,0.323402
0.097004,0.09876,0.029604,0.314299
0.094509,0.150502,0.033229,0.276945
0.097762,0.136387,0.026965,0.275169
0.094481,0.105573,0.028865,0.315114
0.108399,0.181012,0.037767,0.263537
0.103358,0.11108,0.037027,0.294818
0.095134,0.149529,0.02823,0.286895
0.100552,0.12034,0.032357,0.288662
0.101515,0.105057,0.029807,0.265453
0.087424,0.104965,0.024756,0.316169
0.105739,0.148903,0.028937,0.299494
0.086251,0.111128,0.026665,0.299568
0.102316,0.118632,0.037895,0.256105
0.104554,0.118264,0.031712,0.257392
0.097152,0.102058,0.02112,0.274697
0.087683,0.102511,0.040456,0.253707
0.102954,0.114848,0.040798,0.270111
0.09212,0.100624,0.030187,0.30343
0.114816,0.104524,0.041488,0.272942
0.113922,0.077817,0.040892,0.275985
0.082453,0.115517,0.037179,0.290026
